タイトル：RE
測定開始日時：2025/10/24 14:34:32
チャンネル番号：2

ログ時間,時刻,通信異常,店内温度[℃],店内湿度[%],DCファン1 回転数（最大：3276）[RPM],DCファン2 回転数（最大：3276）[RPM],DCファン3 回転数（最大：3276）[RPM],DCファン4 回転数（最大：3276）[RPM],周波数上限[Hz],周波数下限[Hz],圧縮機目標周波数[Hz], 圧縮機実周波数[Hz],AC電流値[A],HIC温度[℃],HIC電流値[A],内層照明出力（店舗：端末ステータス1）,外層照明出力（店舗：端末ステータス1）,霜取り出力1（店舗：端末ステータス1）,霜取り出力2（店舗：端末ステータス1）,結露抑制ファン出力（店舗：端末ステータス1）,コンプ出力,DCファン(PWM)1出力,DCファン(PWM)2出力,DCファン(PWM)3出力,DCファン(PWM)4出力,DCファン(三速調)1出力,DCファン(三速調)2出力,警報コード6,警報コード7,警報コード8,警報コード9,警報コード10,警報データ1（店舗）,警報データ2（店舗）,警報データ3（店舗）,警報データ4（店舗）,
'00:00:44.0,2025/10/24 14:35:16,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:00:45.0,2025/10/24 14:35:17,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:00:46.0,2025/10/24 14:35:18,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:00:47.0,2025/10/24 14:35:19,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:00:48.0,2025/10/24 14:35:20,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:00:49.0,2025/10/24 14:35:21,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:00:50.0,2025/10/24 14:35:22,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:00:51.0,2025/10/24 14:35:23,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:00:52.0,2025/10/24 14:35:24,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:00:53.0,2025/10/24 14:35:25,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:00:54.0,2025/10/24 14:35:26,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:00:55.0,2025/10/24 14:35:27,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:00:56.0,2025/10/24 14:35:28,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:00:57.0,2025/10/24 14:35:29,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:00:58.0,2025/10/24 14:35:30,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:00:59.0,2025/10/24 14:35:31,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:01:00.0,2025/10/24 14:35:32,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:01:01.0,2025/10/24 14:35:33,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:01:02.0,2025/10/24 14:35:34,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:01:03.0,2025/10/24 14:35:35,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
'00:01:04.0,2025/10/24 14:35:36,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,00,00,00,00,00,00h,00h,00h,00h,
